model,L,n_nz
XXZ,6,4.640349197033949
XXZ,8,5.596873960562739
XXZ,10,6.585935712749634
XXZ,12,7.558733869280859
XXZ,14,8.531502633771744
XXZ,16,9.553111171963522
XXZ,18,10.542172924150414
XXZ,20,11.514971080681649
XXZ,22,12.520296428524194
XXZ,24,13.525641371060301
SYK4d2,6,5.84458027921459
SYK4d2,8,6.963838972767782
SYK4d2,10,8.131908047981522
SYK4d2,12,9.365080492551813
SYK4d2,14,10.581959949426091
SYK4d2,16,11.83139598965204
SYK4d2,18,13.064568434222332
SYK4d2,20,14.313984879754713
SYK4d2,22,15.514600740973338
SYK4d2,24,16.7803199715485
J_1-J_2,6,8.18794887156609
J_1-J_2,8,10.137140810897002
J_1-J_2,10,12.10260614323035
J_1-J_2,12,14.084344868566143
J_1-J_2,14,16.066093391248714
J_1-J_2,16,18.064105509586952
J_1-J_2,18,20.04584423492274
J_1-J_2,20,22.027582960258535
J_1-J_2,22,24.041858674252417
J_1-J_2,24,26.007324006585772
J_1-J_2-J_3,6,10.010578685186266
J_1-J_2-J_3,8,14.726247434932148
J_1-J_2-J_3,10,17.66811634741196
J_1-J_2-J_3,12,20.626258652894208
J_1-J_2-J_3,14,23.600674351378903
J_1-J_2-J_3,16,26.59137324021281
J_1-J_2-J_3,18,29.56578893869752
J_1-J_2-J_3,20,32.556458435491095
J_1-J_2-J_3,22,35.547157324325
J_1-J_2-J_3,24,38.52157302280968
SYK4d3,6,13.62326213438139
SYK4d3,8,17.68800496137641
SYK4d3,10,20.776334410878192
SYK4d3,12,23.92975743238973
SYK4d3,14,27.164547418913482
SYK4d3,16,30.38306401243479
SYK4d3,18,33.66667417796587
SYK4d3,20,36.93400115314772
SYK4d3,22,40.201337925676356
SYK4d3,24,43.4849578885542
