# K Nev_above_omega
10 20510
20 11043
30 7537
40 5666
50 4549
60 3824
70 3306
79 2945
90 2535
100 2281
110 2083
119 1958
130 1756
140 1638
149 1538
160 1438
170 1357
180 1307
190 1260
200 1195
210 1133
220 1081
229 1053
240 995
250 960
260 918
270 893
279 861
289 839
300 811
310 777
320 742
330 732
340 712
350 696
360 680
370 672
380 656
390 628
400 614
410 604
420 590
430 576
440 564
449 550
459 536
470 512
480 502
490 497
500 493
510 481
520 469
530 457
540 455
549 451
560 439
569 433
580 427
590 409
600 401
610 399
620 389
630 385
640 377
650 375
660 363
670 359
680 359
690 345
700 341
710 337
719 337
730 337
739 327
750 321
760 319
770 307
780 307
790 305
800 301
810 297
820 293
830 287
840 279
850 279
860 275
870 275
880 273
889 269
900 267
909 263
920 259
930 257
940 255
950 251
960 249
970 245
980 239
990 239
1000 239
